STATION	LAT	LONG
KB	58.4614	11.685689
KB	58.3959	11.62221667
KB	58.36218333	11.58816667
KB	58.32296667	11.54693333
KB	58.2966833	11.51535
KB	58.25685	11.45318333
KB	58.26088333	11.32358333
LMO	56.9308333	17.0606667
VIGO	42.128444	-8.929159
